"coach_id","nombre_completo","nickname_api","etiqueta"
"1008680","Albert Espigares","",""
"1002623","Alejandro Corona Cervantes","Alejandro Corona","Alejandro Corona"
"1000116","André Soares Jardine","André Jardine","Andre Jardine"
"5950","Andrés José Carevic Ghelfi","",""
"4870","Andrés Luciano Lillini","","Andres Lillini"
"560","Antonio Ricardo Mohamed Matijevich","","Antonio Mohamed"
"2898","Ariel Enrique Holan","","Ariel Holan"
"1003436","Arturo Ortega Juárez","",""
"1002630","Benjamín Mora Mendívil","","Benjamin Mora"
"2790","Beñat San José Gil","Beñat San José","Benat San Jose"
"1003934","Carlos María Morales Maeso","",""
"1001390","Christian Martínez Cedillo","",""
"1001217","Christian Ramírez Diaz","",""
"1002736","Cirilo Saucedo Nájera","",""
"1006259","Diego Alberto Cervantes Chávez","Diego Chávez","Diego Chavez"
"1002763","Diego Andrei Mejía Campo","",""
"2819","Diego Martín Cocca Pera","","Diego Cocca"
"6294","Diego Vicente Aguirre Camblor","",""
"161","Domènec Torrent Font","Domènec Torrent","Domenec Torrent"
"1002591","Eduardo Arce Peña","",""
"1001172","Eduardo Fentanes Orozco","","Eduardo Fentanes"
"1005267","Efraín Juárez Váldez","Efraín Váldez","Efrain Valdez"
"1004576","Esteban Andrés Solari Poggio","",""
"1004862","Esteban Eduardo González Herrera","Esteban González","Esteban Gonzalez"
"1004476","Fernando Luis Aristeguieta de Luca","",""
"1001173","Fernando Ortiz","","Fernando Ortiz"
"5662","Fernando Rubén Gago","","Fernando Gago"
"673","Francisco Javier Rodríguez Vílchez","Francisco","Francisco"
"1003963","Francisco Manuel Ruano Bausán","Manel Ruano","Manel Ruano"
"2695","Gabriel Alejandro Milito","","Gabriel Milito"
"3497","Gabriel Esteban Caballero Schiker","","Gabriel Caballero"
"1001786","Gerardo Espinoza Ahumada","",""
"1004746","Gilberto Adame Soltero","",""
"1000299","Gonzalo Pineda Reyes","",""
"1006558","Guido Hernán Pizarro Demestri","","Guido Pizarro"
"3788","Guillermo Abascal Perez","Guillermo Abascal","Guillermo Abascal"
"2778","Guillermo Alejandro Vázquez Herrera","",""
"794","Gustavo Alberto Lema","","Gustavo Lema"
"1003340","Gustavo Jose Da Silva Leal","Gustavo Leal","Gustavo Leal"
"1010237","Hernán Elizondo","",""
"2467","Hernán Jorge Crespo","",""
"1010093","Hernán Rodrigo  González","Hernán Elizondo","Hernan Elizondo"
"5339","Héctor Altamirano Escudero","",""
"3488","Ismael Rescalvo Sánchez","Ismael Rescalvo","Ismael Rescalvo"
"1000115","Jaime Arturo Lozano Espín","","Jaime Lozano"
"3196","Javier Aguirre Onaindía","",""
"1008115","Javier Leonardo Bustos","Javier Bustos","Javier Bustos"
"1001245","Javier Marcelo Gandolfi","",""
"1002764","Joaquín Moreno Garduño","",""
"1009494","Joel Adrián Huiqui Andrade","Joel Huiqui","Joel Huiqui"
"2947","Jorge Guillermo Almada Álves","","Guillermo Almada"
"1000150","Jorge Rodrigo Bava","",""
"1005590","José Luis Meléndez Galindo","",""
"4028","José Manuel de la Torre Menchaca","",""
"1004307","Juan Antonio Torres Servín","Juan Torres","Juan Torres"
"632","Juan Carlos Osorio Arbeláez","","Juan Carlos Osorio"
"3294","Juan Máximo Reynoso Guzmán","","Juan Reynoso"
"4940","Leonardo Alfredo Ramos Giró","",""
"1003613","Luis Alberto Padilla Velasco","",""
"385","Manuel Eduardo Berizzo","","Eduardo Berizzo"
"5334","Marcelo Fabián Méndez Russo","",""
"6223","Marcelo Michel Leaño","",""
"1002754","Marco Antonio Ruiz García","",""
"2944","Marcos Ignacio Ambriz Espinoza","","Ignacio Ambriz"
"1002749","Mario Domínguez Sosa","",""
"1001074","Martin Anselmi","","Martin Anselmi"
"5025","Martín Gastón Demichelis","","Martin Demichelis"
"6035","Martín Varini Di Zioli","","Martin Varini"
"1631","Matías Jesús Almeyda","",""
"1001792","Mauro Néstor Gerk Larrea","","Mauro Gerk"
"5054","Maurício Nogueira Barbieri","Maurício Barbieri","Mauricio Barbieri"
"3012","Miguel Ernesto Herrera Aguirre","","Miguel Herrera"
"1001082","Miguel de Jesús Fuentes Razo","",""
"1001795","Nicolás Gabriel Sánchez","",""
"3629","Nicolás Ricardo Larcamón","","Nicolas Larcamon"
"4290","Omar Alejandro Flores Serrano","",""
"2945","Pablo Adrián Guede Barriero","",""
"2999","Pablo Eduardo Repetto Aquino","",""
"2985","Paulo César Pezzolano Suárez","",""
"4113","Pedro Miguel Faria Caixinha","Pedro Caixinha","Pedro Caixinha"
"5452","Rafael Edgar Dudamel Ochoa","",""
"3228","Rafael Puente del Río","",""
"1001899","Raúl Alpízar","",""
"1001502","Raúl Chabrand Manrique","",""
"1002038","Raúl Erasto Gutiérrez Jacobo","",""
"5876","Renato Manuel Alves Paiva","Renato Paiva","Renato Paiva"
"1001785","Ricardo Alfredo Valiño","",""
"1001388","Ricardo Cadena Martínez","",""
"1003560","Ricardo Carbajal","",""
"3391","Ricardo Ferretti","","Ricardo Ferretti"
"3109","Robert Dante Siboldi Badiola","","Robert Siboldi"
"1009019","Roberto Omar Tapia Jaramillo","Roberto Jaramillo","Roberto Jaramillo"
