club,match_id,match_date,era,era_start,era_end,coach_real,coach_id_real,dirigio_la_era
"América","3799462","2021-07-23","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799390","2021-08-01","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799481","2021-08-08","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799452","2021-08-16","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799416","2021-08-19","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799417","2021-08-22","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799449","2021-08-29","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799357","2021-09-12","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799493","2021-09-19","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799455","2021-09-26","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799448","2021-09-29","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799402","2021-10-03","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799411","2021-10-17","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799444","2021-10-20","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799494","2021-10-24","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799429","2021-10-31","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3799489","2021-11-07","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816758","2022-01-08","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816668","2022-01-23","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816805","2022-02-06","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816717","2022-02-13","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816664","2022-02-17","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816749","2022-02-20","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816746","2022-02-27","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816752","2022-03-02","Santiago Solari","2021-07-23","2022-03-02","Santiago Hernán Solari Poggio","25","1"
"América","3816798","2022-03-06","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816768","2022-03-13","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816769","2022-03-20","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816681","2022-04-03","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816737","2022-04-10","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816809","2022-04-16","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816673","2022-04-21","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816810","2022-04-24","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3816730","2022-05-01","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835105","2022-07-03","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835114","2022-07-10","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835119","2022-07-14","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835133","2022-07-24","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835152","2022-08-01","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835162","2022-08-08","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835169","2022-08-14","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835177","2022-08-18","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835187","2022-08-21","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835191","2022-08-24","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835198","2022-08-27","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835213","2022-09-04","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
"América","3835218","2022-09-07","Fernando Ortiz","2022-03-06","2023-04-29","Fernando Ortiz","1001173","1"
