club,coach,coach_full,coach_id,start_date,end_date,n_partidos,n_en_rango,n_absorbidos,torneos,analizable,banderas
"Necaxa","Guillermo Alejandro Vazquez Herrera","Guillermo Alejandro Vázquez Herrera","2778","2021-07-24","2021-09-28","11","11","0","A2021","0","PRIMERA_DE_VENTANA;CORTA"
"Necaxa","Pablo Adrian Guede Barriero","Pablo Adrián Guede Barriero","2945","2021-10-04","2022-02-05","10","10","0","A2021|C2022","0","CORTA"
"Necaxa","Jaime Lozano","Jaime Arturo Lozano Espín","1000115","2022-02-13","2022-10-02","30","30","0","A2022|C2022","1",""
"Necaxa","Andres Lillini","Andrés Luciano Lillini","4870","2023-01-07","2023-04-30","17","17","0","C2023","0","CORTA"
"Necaxa","Rafael Edgar Dudamel Ochoa","Rafael Edgar Dudamel Ochoa","5452","2023-07-02","2023-08-27","6","6","0","A2023","0","CORTA"
"Necaxa","Luis Alberto Padilla Velasco I","Luis Alberto Padilla Velasco","1003613","2023-09-02","2023-09-02","1","1","0","A2023","0","CORTA;NO_CONTIGUA"
"Necaxa","Eduardo Fentanes","Eduardo Fentanes Orozco","1001172","2023-09-16","2024-10-28","41","41","0","A2023|A2024|C2024","1",""
"Necaxa","Luis Alberto Padilla Velasco II","Luis Alberto Padilla Velasco","1003613","2024-11-03","2024-11-10","3","3","0","A2024","0","CORTA;NO_CONTIGUA"
"Necaxa","Nicolas Larcamon","Nicolás Ricardo Larcamón","3629","2025-01-12","2025-04-19","17","17","0","C2025","0","CORTA"
"Necaxa","Fernando Gago","Fernando Rubén Gago","5662","2025-07-13","2025-11-08","17","17","0","A2025","0","CORTA"
"Necaxa","Martin Varini","Martín Varini Di Zioli","6035","2026-01-11","2026-04-27","17","17","0","C2026","0","CORTA"
