club,coach,coach_full,coach_id,start_date,end_date,n_partidos,n_en_rango,n_absorbidos,torneos,analizable,banderas
"América","Santiago Solari","Santiago Hernán Solari Poggio","25","2021-07-23","2022-03-02","25","25","0","A2021|C2022","1","PRIMERA_DE_VENTANA"
"América","Fernando Ortiz","Fernando Ortiz","1001173","2022-03-06","2023-04-29","43","43","0","A2022|C2022|C2023","1",""
"América","Andre Jardine","André Soares Jardine","1000116","2023-07-01","2026-04-26","100","102","2","A2023|A2024|A2025|C2024|C2025|C2026","1","FUSIONADA(1)"
"Atlas","Diego Cocca I","Diego Martín Cocca Pera","2819","2021-07-25","2022-10-02","51","51","0","A2021|A2022|C2022","1","PRIMERA_DE_VENTANA;NO_CONTIGUA"
"Atlas","Benjamin Mora","Benjamín Mora Mendívil","1002630","2023-01-13","2023-10-30","31","31","0","A2023|C2023","1",""
"Atlas","Omar Alejandro Flores Serrano","Omar Alejandro Flores Serrano","4290","2023-11-02","2023-11-11","3","3","0","A2023","0","CORTA"
"Atlas","Benat San Jose","Beñat San José Gil","2790","2024-01-15","2024-11-10","34","34","0","A2024|C2024","1",""
"Atlas","Gonzalo Pineda Reyes","Gonzalo Pineda Reyes","1000299","2025-01-12","2025-08-10","21","21","0","A2025|C2025","0","CORTA"
"Atlas","Diego Cocca II","Diego Martín Cocca Pera","2819","2025-08-17","2026-04-26","30","30","0","A2025|C2026","1","NO_CONTIGUA"
"Atlético San Luis","Marcelo Fabian Mendez Russo","Marcelo Fabián Méndez Russo","5334","2021-07-25","2022-01-21","20","20","0","A2021|C2022","0","PRIMERA_DE_VENTANA;CORTA"
"Atlético San Luis","Andre Jardine","André Soares Jardine","1000116","2022-02-06","2023-04-30","48","48","0","A2022|C2022|C2023","1",""
"Atlético San Luis","Gustavo Leal","Gustavo Jose Da Silva Leal","1003340","2023-07-01","2024-04-29","34","34","0","A2023|C2024","1",""
"Atlético San Luis","Domenec Torrent","Domènec Torrent Font","161","2024-07-06","2025-04-21","34","34","0","A2024|C2025","1",""
"Atlético San Luis","Guillermo Abascal","Guillermo Abascal Perez","3788","2025-07-14","2026-03-22","29","29","0","A2025|C2026","1",""
"Atlético San Luis","Raul Chabrand Manrique","Raúl Chabrand Manrique","1001502","2026-04-04","2026-04-26","5","5","0","C2026","0","CORTA"
"Cruz Azul","Juan Reynoso","Juan Máximo Reynoso Guzmán","3294","2021-07-27","2022-05-01","34","34","0","A2021|C2022","1","PRIMERA_DE_VENTANA"
"Cruz Azul","Diego Vicente Aguirre Camblor","Diego Vicente Aguirre Camblor","6294","2022-07-03","2022-08-21","10","10","0","A2022","0","CORTA"
"Cruz Azul","Raul Erasto Gutierrez Jacobo","Raúl Erasto Gutiérrez Jacobo","1002038","2022-08-27","2023-02-12","12","12","0","A2022|C2023","0","CORTA"
"Cruz Azul","Joaquin Moreno Garduno I","Joaquín Moreno Garduño","1002764","2023-02-18","2023-02-23","2","2","0","C2023","0","CORTA;NO_CONTIGUA"
"Cruz Azul","Ricardo Ferretti","Ricardo Ferretti","3391","2023-02-25","2023-07-15","13","13","0","A2023|C2023","0","CORTA"
"Cruz Azul","Joaquin Moreno Garduno II","Joaquín Moreno Garduño","1002764","2023-08-20","2023-11-13","14","14","0","A2023","0","CORTA;NO_CONTIGUA"
"Cruz Azul","Martin Anselmi","Martin Anselmi","1001074","2024-01-14","2025-01-25","37","37","0","A2024|C2024|C2025","1",""
"Cruz Azul","Vicente Sanchez","Vicente Martín Sánchez Bragunde","1006349","2025-01-29","2025-04-20","14","14","0","C2025","0","CORTA"
"Cruz Azul","Nicolas Larcamon","Nicolás Ricardo Larcamón","3629","2025-07-13","2026-04-22","33","33","0","A2025|C2026","1",""
"Cruz Azul","Joel Huiqui","Joel Adrián Huiqui Andrade","1009494","2026-04-27","2026-04-27","1","1","0","C2026","0","CORTA"
"Guadalajara","Victor Manuel Vucetich","Víctor Manuel Vucetich Rojas","3746","2021-07-25","2021-09-19","9","9","0","A2021","0","PRIMERA_DE_VENTANA;CORTA"
"Guadalajara","Marcelo Michel Leano","Marcelo Michel Leaño","6223","2021-09-26","2022-04-10","20","20","0","A2021|C2022","0","CORTA"
"Guadalajara","Ricardo Cadena Martinez","Ricardo Cadena Martínez","1001388","2022-04-14","2022-10-02","22","22","0","A2022|C2022","0","CORTA"
"Guadalajara","Veljko Paunovic","Veljko Paunovic","156","2023-01-08","2023-11-12","34","34","0","A2023|C2023","1",""
"Guadalajara","Fernando Gago","Fernando Rubén Gago","5662","2024-01-14","2024-10-06","28","28","0","A2024|C2024","1",""
"Guadalajara","Arturo Ortega Juarez","Arturo Ortega Juárez","1003436","2024-10-19","2024-11-09","6","6","0","A2024","0","CORTA"
"Guadalajara","Oscar Garcia","Óscar García Junyent","430","2025-01-12","2025-02-27","8","9","1","C2025","0","CORTA;MULTI_MANAGER(1);FUSIONADA(1)"
"Guadalajara","Jose Luis Melendez Galindo","José Luis Meléndez Galindo","1005590","2025-03-02","2025-03-02","1","1","0","C2025","0","CORTA"
"Guadalajara","Gerardo Espinoza Ahumada","Gerardo Espinoza Ahumada","1001786","2025-03-09","2025-04-20","6","7","1","C2025","0","CORTA;FUSIONADA(1)"
"Guadalajara","Gabriel Milito","Gabriel Alejandro Milito","2695","2025-07-20","2026-04-26","34","34","0","A2025|C2026","1",""
"Juárez","Ricardo Ferretti","Ricardo Ferretti","3391","2021-07-24","2022-04-30","34","34","0","A2021|C2022","1","PRIMERA_DE_VENTANA"
"Juárez","Hernan Cristante","Rolando Hernán Cristante Mandarino","5543","2022-07-02","2023-04-10","31","31","0","A2022|C2023","1",""
"Juárez","Diego Andrei Mejia Campo","Diego Andrei Mejía Campo","1002763","2023-04-14","2024-01-29","24","24","0","A2023|C2023|C2024","0","CORTA"
"Juárez","Juan Torres","Juan Antonio Torres Servín","1004307","2024-02-03","2024-02-03","1","1","0","C2024","0","CORTA"
"Juárez","Mauricio Barbieri","Maurício Nogueira Barbieri","5054","2024-02-10","2024-10-28","26","26","0","A2024|C2024","1",""
"Juárez","Salvador Valero","Salvador Valero García","1005640","2024-11-02","2024-11-10","3","3","0","A2024","0","CORTA"
"Juárez","Martin Varini","Martín Varini Di Zioli","6035","2025-01-11","2025-11-08","34","34","0","A2025|C2025","1",""
"Juárez","Pedro Caixinha","Pedro Miguel Faria Caixinha","4113","2026-01-10","2026-04-26","17","17","0","C2026","0","CORTA"
"León","Ariel Holan","Ariel Enrique Holan","2898","2021-07-24","2022-04-21","32","32","0","A2021|C2022","1","PRIMERA_DE_VENTANA"
"León","Christian Martinez Cedillo","Christian Martínez Cedillo","1001390","2022-04-25","2022-05-02","2","2","0","C2022","0","CORTA"
"León","Renato Paiva","Renato Manuel Alves Paiva","5876","2022-07-03","2022-10-03","17","17","0","A2022","0","CORTA"
"León","Nicolas Larcamon","Nicolás Ricardo Larcamón","3629","2023-01-17","2023-11-13","34","34","0","A2023|C2023","1",""
"León","Jorge Rodrigo Bava","Jorge Rodrigo Bava","1000150","2024-01-18","2024-08-31","23","23","0","A2024|C2024","0","CORTA"
"León","Eduardo Berizzo","Manuel Eduardo Berizzo","385","2024-09-15","2025-10-05","40","40","0","A2024|A2025|C2025","1",""
"León","Ignacio Ambriz","Marcos Ignacio Ambriz Espinoza","2944","2025-10-18","2026-03-15","15","15","0","A2025|C2026","0","CORTA"
"León","Alejandro Corona","Alejandro Corona Cervantes","1002623","2026-03-19","2026-03-19","1","1","0","C2026","0","CORTA"
"León","Javier Marcelo Gandolfi","Javier Marcelo Gandolfi","1001245","2026-03-22","2026-04-26","6","6","0","C2026","0","CORTA"
"Mazatlán","Benat San Jose","Beñat San José Gil","2790","2021-07-27","2022-03-13","26","26","0","A2021|C2022","1","PRIMERA_DE_VENTANA"
"Mazatlán","Gabriel Caballero","Gabriel Esteban Caballero Schiker","3497","2022-03-21","2023-01-29","28","28","0","A2022|C2022|C2023","1",""
"Mazatlán","Christian Ramirez Diaz I","Christian Ramírez Diaz","1001217","2023-02-04","2023-02-04","1","1","0","C2023","0","CORTA;NO_CONTIGUA"
"Mazatlán","Ruben Romano","Rubén Omar Romano Cachía","1002737","2023-02-11","2023-04-30","13","13","0","C2023","0","CORTA"
"Mazatlán","Ismael Rescalvo","Ismael Rescalvo Sánchez","3488","2023-07-01","2024-04-06","31","31","0","A2023|C2024","1",""
"Mazatlán","Gilberto Adame Soltero","Gilberto Adame Soltero","1004746","2024-04-13","2024-04-28","3","3","0","C2024","0","CORTA"
"Mazatlán","Victor Manuel Vucetich","Víctor Manuel Vucetich Rojas","3746","2024-07-07","2025-04-19","34","34","0","A2024|C2025","1",""
"Mazatlán","Robert Siboldi","Robert Dante Siboldi Badiola","3109","2025-07-13","2026-01-13","19","19","0","A2025|C2026","0","CORTA"
"Mazatlán","Christian Ramirez Diaz II","Christian Ramírez Diaz","1001217","2026-01-17","2026-01-17","1","1","0","C2026","0","CORTA;NO_CONTIGUA"
