coach,start_date,end_date
Guillermo Alejandro Vazquez Herrera,2021-07-24,2021-10-03
Pablo Adrian Guede Barriero,2021-10-04,2022-02-12
Jaime Lozano,2022-02-13,2023-01-06
Andres Lillini,2023-01-07,2023-07-01
Rafael Edgar Dudamel Ochoa,2023-07-02,2023-09-01
Luis Alberto Padilla Velasco I,2023-09-02,2023-09-15
Eduardo Fentanes,2023-09-16,2024-11-02
Luis Alberto Padilla Velasco II,2024-11-03,2025-01-11
Nicolas Larcamon,2025-01-12,2025-07-12
Fernando Gago,2025-07-13,2026-01-10
Martin Varini,2026-01-11,2026-04-27
