match_id,match_date,torneo,bloque,fuente,frontera_riesgosa
3799357,2021-07-23,Apertura 2021,0,derivada,false
3799390,2021-07-31,Apertura 2021,0,derivada,false
3799402,2021-08-07,Apertura 2021,0,derivada,false
3799411,2021-08-15,Apertura 2021,0,derivada,false
3799416,2021-08-22,Apertura 2021,0,derivada,false
3799417,2021-08-30,Apertura 2021,0,derivada,false
3799429,2021-09-06,Apertura 2021,0,derivada,false
3799444,2021-09-14,Apertura 2021,0,derivada,false
3799448,2021-09-21,Apertura 2021,0,derivada,false
3799449,2021-09-29,Apertura 2021,0,derivada,false
3799452,2021-10-07,Apertura 2021,0,derivada,false
3799455,2021-10-14,Apertura 2021,0,derivada,false
3799462,2021-10-22,Apertura 2021,0,derivada,false
3799481,2021-10-29,Apertura 2021,0,derivada,false
3799489,2021-11-06,Apertura 2021,0,derivada,false
3799493,2021-11-13,Apertura 2021,0,derivada,false
3799494,2021-11-21,Apertura 2021,0,derivada,false
3815231,2022-01-07,Clausura 2022,1,derivada,false
3815234,2022-01-13,Clausura 2022,1,derivada,false
3816664,2022-01-19,Clausura 2022,1,derivada,false
3816668,2022-01-25,Clausura 2022,1,derivada,false
3816673,2022-01-31,Clausura 2022,1,derivada,false
3816681,2022-02-06,Clausura 2022,1,derivada,false
3816717,2022-02-12,Clausura 2022,1,derivada,false
3816730,2022-02-18,Clausura 2022,1,derivada,false
3816737,2022-02-24,Clausura 2022,1,derivada,false
3816746,2022-03-02,Clausura 2022,1,derivada,false
3816749,2022-03-07,Clausura 2022,1,derivada,false
3816752,2022-03-13,Clausura 2022,1,derivada,false
3816758,2022-03-19,Clausura 2022,1,derivada,false
3816768,2022-03-25,Clausura 2022,1,derivada,false
3816769,2022-03-31,Clausura 2022,1,derivada,false
3816798,2022-04-06,Clausura 2022,1,derivada,false
3816805,2022-04-12,Clausura 2022,1,derivada,false
3816809,2022-04-18,Clausura 2022,1,derivada,false
3816810,2022-04-24,Clausura 2022,1,derivada,false
3831920,2022-05-01,Clausura 2022 (liguilla),2,derivada,false
3831924,2022-05-08,Clausura 2022 (liguilla),2,derivada,false
3832382,2022-05-15,Clausura 2022 (liguilla),2,derivada,false
3832384,2022-05-22,Clausura 2022 (liguilla),2,derivada,false
3835105,2022-07-01,Apertura 2022,3,derivada,true
3835114,2022-07-08,Apertura 2022,3,derivada,true
3835119,2022-07-14,Apertura 2022,3,derivada,true
3835133,2022-07-21,Apertura 2022,3,derivada,true
3835152,2022-07-28,Apertura 2022,3,derivada,true
3835162,2022-08-03,Apertura 2022,3,derivada,true
3835169,2022-08-10,Apertura 2022,3,derivada,true
3835177,2022-08-17,Apertura 2022,3,derivada,true
3835187,2022-08-24,Apertura 2022,3,derivada,true
3835191,2022-08-30,Apertura 2022,3,derivada,true
3835198,2022-09-06,Apertura 2022,3,derivada,true
3835213,2022-09-13,Apertura 2022,3,derivada,true
3835218,2022-09-19,Apertura 2022,3,derivada,true
3835225,2022-09-26,Apertura 2022,3,derivada,true
3835234,2022-10-03,Apertura 2022,3,derivada,true
3835237,2022-10-09,Apertura 2022,3,derivada,true
3835245,2022-10-16,Apertura 2022,3,derivada,true
3864712,2022-10-23,Apertura 2022 (liguilla),4,derivada,false
3864713,2022-10-30,Apertura 2022 (liguilla),4,derivada,false
3865780,2022-11-06,Apertura 2022 (liguilla),4,derivada,false
3865781,2022-11-13,Apertura 2022 (liguilla),4,derivada,false
3870379,2023-01-06,Clausura 2023,5,derivada,false
3870389,2023-01-13,Clausura 2023,5,derivada,false
3870395,2023-01-19,Clausura 2023,5,derivada,false
3870409,2023-01-26,Clausura 2023,5,derivada,false
3870416,2023-02-02,Clausura 2023,5,derivada,false
3870426,2023-02-08,Clausura 2023,5,derivada,false
3870431,2023-02-15,Clausura 2023,5,derivada,false
3870443,2023-02-22,Clausura 2023,5,derivada,false
3870451,2023-03-01,Clausura 2023,5,derivada,false
3870462,2023-03-07,Clausura 2023,5,derivada,false
3870470,2023-03-14,Clausura 2023,5,derivada,false
3870479,2023-03-21,Clausura 2023,5,derivada,false
3870489,2023-03-27,Clausura 2023,5,derivada,false
3870495,2023-04-03,Clausura 2023,5,derivada,false
3870504,2023-04-10,Clausura 2023,5,derivada,false
3870516,2023-04-16,Clausura 2023,5,derivada,false
3870520,2023-04-23,Clausura 2023,5,derivada,false
3886180,2023-04-30,Clausura 2023 (liguilla),6,derivada,false
3886185,2023-05-07,Clausura 2023 (liguilla),6,derivada,false
3886545,2023-05-14,Clausura 2023 (liguilla),6,derivada,false
3886547,2023-05-21,Clausura 2023 (liguilla),6,derivada,false
3889637,2023-06-30,Apertura 2023,7,derivada,false
3889653,2023-07-07,Apertura 2023,7,derivada,false
3889660,2023-07-14,Apertura 2023,7,derivada,false
3889669,2023-07-21,Apertura 2023,7,derivada,false
3889681,2023-07-28,Apertura 2023,7,derivada,false
3889685,2023-08-05,Apertura 2023,7,derivada,false
3889699,2023-08-12,Apertura 2023,7,derivada,false
3889702,2023-08-19,Apertura 2023,7,derivada,false
3889715,2023-08-26,Apertura 2023,7,derivada,false
3889725,2023-09-02,Apertura 2023,7,derivada,false
3889728,2023-09-09,Apertura 2023,7,derivada,false
3889732,2023-09-16,Apertura 2023,7,derivada,false
3889744,2023-09-24,Apertura 2023,7,derivada,false
3889758,2023-10-01,Apertura 2023,7,derivada,false
3889769,2023-10-08,Apertura 2023,7,derivada,false
3889775,2023-10-15,Apertura 2023,7,derivada,false
3889786,2023-10-22,Apertura 2023,7,derivada,false
3917452,2024-01-12,Clausura 2024,8,derivada,false
3917453,2024-01-17,Clausura 2024,8,derivada,false
3917856,2024-01-22,Clausura 2024,8,derivada,false
